terror,level,source,target,weight,time
aq,1,29678b9f5b8590d0,aeca1547ea55e92c,0.27128796,2019-06-28 17:38:12
aq,1,4f9ab6b7ebfec107,aeca1547ea55e92c,0.1850121,2019-08-14 20:21:38
aq,2,00001b202a0c2465,29678b9f5b8590d0,38.95736094,2019-06-28 09:23:49
aq,2,00001b202a0c2465,4f9ab6b7ebfec107,1.74845168,2019-08-13 22:39:51
aq,2,00001b202a0c2465,4f9ab6b7ebfec107,8.47092594,2019-08-13 22:39:51
aq,0,7c500017667bfee2,exchange4,0.04703125,2019-08-06 02:39:13
aq,1,083b0fabea6dddc9,7c500017667bfee2,0.04706178,2019-08-05 14:56:52
aq,2,1a3d736683f4d672,083b0fabea6dddc9,0.044389,2019-07-19 17:22:07
aq,2,1a3d736683f4d672,083b0fabea6dddc9,0.0398275,2019-07-31 19:48:34
aq,0,00000b55c1bcbc1f,exchange4,0.095,2019-08-02 21:37:37
aq,1,Virtual Currency Exchange 2,00000b55c1bcbc1f,47.73956177,2019-08-01 20:03:14
aq,1,exchange1,00000b55c1bcbc1f,3.61959449,2019-08-02 20:34:13
aq,1,Virtual Currency Exchange 2,00000b55c1bcbc1f,1.89486607,2019-08-02 20:34:13
aq,2,00011f17cd2e1170,Virtual Currency Exchange 2,0.00479993,2019-08-01 17:09:38
aq,2,00011f17cd2e1170,Virtual Currency Exchange 2,0.00897631,2019-08-01 17:39:48
aq,2,00011f17cd2e1170,Virtual Currency Exchange 2,0.01341535,2019-08-01 17:39:48
aq,2,91a0d97a4710d4fa,Virtual Currency Exchange 2,9.38744845,2019-08-01 18:42:23
aq,2,017fc5d81cbe4fbf,Virtual Currency Exchange 2,14.0,2019-08-01 18:16:49
aq,2,2968dd4f2538e5f5,Virtual Currency Exchange 2,0.00375544,2019-08-01 18:42:23
aq,2,0000260c0303dbbf,Virtual Currency Exchange 2,0.0275,2019-08-01 18:57:22
aq,2,d61d1da84330ca33,Virtual Currency Exchange 2,0.01559275,2019-08-01 18:57:22
aq,2,c3cec7f1e4ea9762,Virtual Currency Exchange 2,0.0003,2019-08-01 16:41:27
aq,2,1db0bd1277f7af2f,Virtual Currency Exchange 2,0.01262994,2019-08-01 18:10:35
aq,2,00000b55c1bcbc1f,Virtual Currency Exchange 2,0.1005,2019-08-01 18:42:23
aq,2,b0879496e47ead08,Virtual Currency Exchange 2,1.0,2019-08-01 18:21:27
aq,2,55d43b805a80fb7d,Virtual Currency Exchange 2,0.52462994,2019-08-01 18:42:23
aq,2,b0f89bbd9f900574,Virtual Currency Exchange 2,0.0436675,2019-08-01 18:42:23
aq,2,12c43192a0e3659f,Virtual Currency Exchange 2,0.002,2019-08-01 18:10:35
aq,2,3dd60a1683366c29,Virtual Currency Exchange 2,0.87628751,2019-08-01 18:10:35
aq,2,4c97e297f4d5face,Virtual Currency Exchange 2,2.0,2019-08-01 17:39:48
aq,2,0008c07be1f8da3b,Virtual Currency Exchange 2,1.48729268,2019-08-01 18:16:49
aq,2,Virtual Currency Exchange 11,Virtual Currency Exchange 2,0.97751858,2019-08-01 18:42:23
aq,2,0001e04578df90fb,Virtual Currency Exchange 2,0.0248949,2019-08-01 10:24:26
aq,2,8e1afb736998b9f4,Virtual Currency Exchange 2,1.5,2019-08-01 18:24:59
aq,2,0e44b80c3c74b957,Virtual Currency Exchange 2,0.07931,2019-08-01 17:39:48
aq,2,00008abae48b9548,Virtual Currency Exchange 2,7.1624,2019-08-01 17:33:31
aq,2,00000b55c1bcbc1f,Virtual Currency Exchange 2,0.06816915,2019-08-01 19:08:13
aq,2,3e5df0128af31a6a,Virtual Currency Exchange 2,0.016,2019-08-01 17:09:38
aq,2,0050af2120b84dfd,Virtual Currency Exchange 2,0.00034,2019-08-01 19:08:13
aq,2,c29dcb5a5c3e31e4,Virtual Currency Exchange 2,0.01259832,2019-08-01 19:08:13
aq,2,77aa7b8d06f1f4d1,Virtual Currency Exchange 2,0.01384031,2019-08-01 18:13:38
aq,2,00000b55c1bcbc1f,Virtual Currency Exchange 2,0.5656,2019-08-01 18:05:38
aq,2,af193b9897421683,Virtual Currency Exchange 2,0.00568277,2019-08-01 15:48:56
aq,2,00011f17cd2e1170,Virtual Currency Exchange 2,0.10534481,2019-08-01 17:39:48
aq,2,89f9d807839a3f36,Virtual Currency Exchange 2,0.0049856,2019-08-01 12:17:13
aq,2,0dceff14f2e532c2,Virtual Currency Exchange 2,0.00635235,2019-08-01 11:01:24
aq,2,00000b55c1bcbc1f,Virtual Currency Exchange 2,0.100736,2019-08-01 18:57:22
aq,2,1fa0968b82ff7a78,Virtual Currency Exchange 2,0.03062917,2019-08-01 18:10:35
aq,2,Virtual Currency Exchange 2,Virtual Currency Exchange 2,0.00690808,2019-08-01 18:05:38
aq,2,00011f17cd2e1170,Virtual Currency Exchange 2,0.01123997,2019-08-01 17:39:48
aq,2,0ad0c9c571082467,Virtual Currency Exchange 2,0.63,2019-08-01 18:05:38
aq,2,407cbeed5d1a0406,Virtual Currency Exchange 2,0.0095236,2019-08-01 13:41:37
aq,2,1313d4e6e40024a9,Virtual Currency Exchange 2,0.00754231,2019-08-01 18:57:22
aq,2,1a0e4b4ea8dd8b0d,Virtual Currency Exchange 2,1.2,2019-08-01 17:33:31
