terror,level,source,target,weight,time
aq,0,exchange4,00000b55c1bcbc1f,3.30132577,2019-10-23 00:03:42
aq,0,exchange4,exchange4,0.00981717,2019-10-23 00:03:42
aq,1,00000b55c1bcbc1f,4597e99595dfb233,1.86434927,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,02446b8f9347299f,0.0047057,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,a7ce454edc634817,0.35447,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,ac0adf9cf106fa9c,0.0269348,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,223bad496b26bb61,0.49,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,bfa1a925ab6983eb,0.1395,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,00004290d122cf1b,0.01671207,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,4283a868e7f64218,0.46628632,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0000120db0082614,1.11838145,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,00000b55c1bcbc1f,0.00917618,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,7db515bed5dd164e,0.18262582,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0000b5906fb2bc9e,0.0040238,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0000120db0082614,0.16905576,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,Virtual Currency Exchange 9,0.42244125,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0002ab92fc96e506,0.106125,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,77d034b446acfb97,0.10939,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,c9615b27c499c205,0.00120235,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,02e9348d445b4393,0.033,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,8dc89647f7c1acb4,0.03693052,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,000042ba4d27ee9d,0.08230211,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,000005b7a2d5d74c,0.1095,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0eee59163ab023e1,0.14397709,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0000120db0082614,0.35780733,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,11be69165b3422be,1.9895,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0059f2487281187e,0.00801847,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,ce23ff5b8e82ad8d,0.1995,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,00001bd1e9bc3c71,0.12,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,00001012b1848923,0.46566037,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0000120db0082614,0.0747,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,5eef55315136b393,0.0145,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,00007261eeef49ff,1.0428,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,00008abae48b9548,0.03178297,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,09a188eecac82c28,0.3461,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0000120db0082614,0.045246,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0486ed7241daf03a,0.4263,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0000120db0082614,0.36482373,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,04ea640afe3a1235,0.00401405,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,000002017bbe1b43,0.01852402,2019-10-23 01:52:13
